iNumb:; 1;999;8991;8082;8532;6174;6174;
iNumb:; 2;1998;8082;8532;6174;6174;
iNumb:; 3;2997;7173;6354;3087;8352;6174;6174;
iNumb:; 4;3996;6264;4176;6174;6174;
iNumb:; 5;4995;5355;1998;8082;8532;6174;6174;
iNumb:; 6;5994;5355;1998;8082;8532;6174;6174;
iNumb:; 7;6993;6264;4176;6174;6174;
iNumb:; 8;7992;7173;6354;3087;8352;6174;6174;
iNumb:; 9;8991;8082;8532;6174;6174;
iNumb:; 10;999;8991;8082;8532;6174;6174;
iNumb:; 11;1089;9621;8352;6174;6174;
iNumb:; 12;2088;8532;6174;6174;
iNumb:; 13;3087;8352;6174;6174;
iNumb:; 14;4086;8172;7443;3996;6264;4176;6174;6174;
iNumb:; 15;5085;7992;7173;6354;3087;8352;6174;6174;
iNumb:; 16;6084;8172;7443;3996;6264;4176;6174;6174;
iNumb:; 17;7083;8352;6174;6174;
iNumb:; 18;8082;8532;6174;6174;
iNumb:; 19;9081;9621;8352;6174;6174;
iNumb:; 20;1998;8082;8532;6174;6174;
iNumb:; 21;2088;8532;6174;6174;
iNumb:; 22;2178;7443;3996;6264;4176;6174;6174;
iNumb:; 23;3177;6354;3087;8352;6174;6174;
iNumb:; 24;4176;6174;6174;
iNumb:; 25;5175;5994;5355;1998;8082;8532;6174;6174;
iNumb:; 26;6174;6174;
iNumb:; 27;7173;6354;3087;8352;6174;6174;
iNumb:; 28;8172;7443;3996;6264;4176;6174;6174;
iNumb:; 29;9171;8532;6174;6174;
iNumb:; 30;2997;7173;6354;3087;8352;6174;6174;
iNumb:; 31;3087;8352;6174;6174;
iNumb:; 32;3177;6354;3087;8352;6174;6174;
iNumb:; 33;3267;5265;3996;6264;4176;6174;6174;
iNumb:; 34;4266;4176;6174;6174;
iNumb:; 35;5265;3996;6264;4176;6174;6174;
iNumb:; 36;6264;4176;6174;6174;
iNumb:; 37;7263;5265;3996;6264;4176;6174;6174;
iNumb:; 38;8262;6354;3087;8352;6174;6174;
iNumb:; 39;9261;8352;6174;6174;
iNumb:; 40;3996;6264;4176;6174;6174;
iNumb:; 41;4086;8172;7443;3996;6264;4176;6174;6174;
iNumb:; 42;4176;6174;6174;
iNumb:; 43;4266;4176;6174;6174;
iNumb:; 44;4356;3087;8352;6174;6174;
iNumb:; 45;5355;1998;8082;8532;6174;6174;
iNumb:; 46;6354;3087;8352;6174;6174;
iNumb:; 47;7353;4176;6174;6174;
iNumb:; 48;8352;6174;6174;
iNumb:; 49;9351;8172;7443;3996;6264;4176;6174;6174;
iNumb:; 50;4995;5355;1998;8082;8532;6174;6174;
iNumb:; 51;5085;7992;7173;6354;3087;8352;6174;6174;
iNumb:; 52;5175;5994;5355;1998;8082;8532;6174;6174;
iNumb:; 53;5265;3996;6264;4176;6174;6174;
iNumb:; 54;5355;1998;8082;8532;6174;6174;
iNumb:; 55;5445;1089;9621;8352;6174;6174;
iNumb:; 56;6444;1998;8082;8532;6174;6174;
iNumb:; 57;7443;3996;6264;4176;6174;6174;
iNumb:; 58;8442;5994;5355;1998;8082;8532;6174;6174;
iNumb:; 59;9441;7992;7173;6354;3087;8352;6174;6174;
iNumb:; 60;5994;5355;1998;8082;8532;6174;6174;
iNumb:; 61;6084;8172;7443;3996;6264;4176;6174;6174;
iNumb:; 62;6174;6174;
iNumb:; 63;6264;4176;6174;6174;
iNumb:; 64;6354;3087;8352;6174;6174;
iNumb:; 65;6444;1998;8082;8532;6174;6174;
iNumb:; 66;6534;3087;8352;6174;6174;
iNumb:; 67;7533;4176;6174;6174;
iNumb:; 68;8532;6174;6174;
iNumb:; 69;9531;8172;7443;3996;6264;4176;6174;6174;
iNumb:; 70;6993;6264;4176;6174;6174;
iNumb:; 71;7083;8352;6174;6174;
iNumb:; 72;7173;6354;3087;8352;6174;6174;
iNumb:; 73;7263;5265;3996;6264;4176;6174;6174;
iNumb:; 74;7353;4176;6174;6174;
iNumb:; 75;7443;3996;6264;4176;6174;6174;
iNumb:; 76;7533;4176;6174;6174;
iNumb:; 77;7623;5265;3996;6264;4176;6174;6174;
iNumb:; 78;8622;6354;3087;8352;6174;6174;
iNumb:; 79;9621;8352;6174;6174;
iNumb:; 80;7992;7173;6354;3087;8352;6174;6174;
iNumb:; 81;8082;8532;6174;6174;
iNumb:; 82;8172;7443;3996;6264;4176;6174;6174;
iNumb:; 83;8262;6354;3087;8352;6174;6174;
iNumb:; 84;8352;6174;6174;
