iNumb:; 1;1000;9990;9981;8820;8532;7641;
;;1;999;1899;288;2358;1467;
;;999;8991;8082;8532;6174;6174;
iNumb:; 2;2000;9981;8820;8532;7641;
;;2;1899;288;2358;1467;
;;1998;8082;8532;6174;6174;
iNumb:; 3;3000;9972;7731;6543;8730;8532;7641;
;;3;2799;1377;3456;378;2358;1467;
;;2997;7173;6354;3087;8352;6174;6174;
iNumb:; 4;4000;9963;6642;7641;7641;
;;4;3699;2466;1467;1467;
;;3996;6264;4176;6174;6174;
iNumb:; 5;5000;9954;5553;9981;8820;8532;7641;
;;5;4599;3555;1899;288;2358;1467;
;;4995;5355;1998;8082;8532;6174;6174;
iNumb:; 6;6000;9954;5553;9981;8820;8532;7641;
;;6;4599;3555;1899;288;2358;1467;
;;5994;5355;1998;8082;8532;6174;6174;
iNumb:; 7;7000;9963;6642;7641;7641;
;;7;3699;2466;1467;1467;
;;6993;6264;4176;6174;6174;
iNumb:; 8;8000;9972;7731;6543;8730;8532;7641;
;;8;2799;1377;3456;378;2358;1467;
;;7992;7173;6354;3087;8352;6174;6174;
iNumb:; 9;9000;9981;8820;8532;7641;
;;9;1899;288;2358;1467;
;;8991;8082;8532;6174;6174;
iNumb:; 10;1000;9990;9981;8820;8532;7641;
;;1;999;1899;288;2358;1467;
;;999;8991;8082;8532;6174;6174;
iNumb:; 11;1100;9810;9621;8532;7641;
;;11;189;1269;2358;1467;
;;1089;9621;8352;6174;6174;
iNumb:; 12;2100;8820;8532;7641;
;;12;288;2358;1467;
;;2088;8532;6174;6174;
iNumb:; 13;3100;8730;8532;7641;
;;13;378;2358;1467;
;;3087;8352;6174;6174;
iNumb:; 14;4100;8640;8721;7443;9963;6642;7641;7641;
;;14;468;1278;3447;3699;2466;1467;1467;
;;4086;8172;7443;3996;6264;4176;6174;6174;
iNumb:; 15;5100;8550;9972;7731;6543;8730;8532;7641;
;;15;558;2799;1377;3456;378;2358;1467;
;;5085;7992;7173;6354;3087;8352;6174;6174;
iNumb:; 16;6100;8640;8721;7443;9963;6642;7641;7641;
;;16;468;1278;3447;3699;2466;1467;1467;
;;6084;8172;7443;3996;6264;4176;6174;6174;
iNumb:; 17;7100;8730;8532;7641;
;;17;378;2358;1467;
;;7083;8352;6174;6174;
iNumb:; 18;8100;8820;8532;7641;
;;18;288;2358;1467;
;;8082;8532;6174;6174;
